etiqueta;acumulado;frame;tiempo;
peaton;1.0;289.177777778;0.65
ciclista;1.0;7340.66666667;16.5
peaton;2.0;9031.24444444;20.3
peaton;3.0;9943.26666667;22.35
ciclista;2.0;11834.0444444;26.6
peaton;4.0;13947.2666667;31.35
peaton;5.0;17039.2444444;38.3
ciclista;3.0;17773.3111111;39.95
peaton;6.0;23223.2;52.2
peaton;7.0;23868.2888889;53.65
ciclista;4.0;26226.2;58.95
peaton;8.0;26849.0444444;60.35
peaton;9.0;27538.6222222;61.9
ciclista;5.0;28962.2666667;65.1
peaton;10.0;31520.3777778;70.85
peaton;11.0;34545.6222222;77.65
peaton;12.0;36569.8666667;82.2
ciclista;6.0;41886.2888889;94.15
peaton;13.0;43043.0;96.75
peaton;14.0;44800.3111111;100.7
peaton;15.0;48426.1555556;108.85
ciclista;7.0;48604.1111111;109.25
peaton;16.0;51184.4666667;115.05
peaton;17.0;52096.4888889;117.1
peaton;18.0;52207.7111111;117.35
peaton;19.0;52741.5777778;118.55
peaton;20.0;54320.9333333;122.1
peaton;21.0;54320.9333333;122.1
ciclista;8.0;58792.0666667;132.15
ciclista;9.0;60638.3555556;136.3
peaton;22.0;61706.0888889;138.7
peaton;23.0;66088.2444444;148.55
peaton;24.0;67200.4666667;151.05
ciclista;10.0;68757.5777778;154.55
peaton;25.0;74229.7111111;166.85
peaton;26.0;74274.2;166.95
peaton;27.0;75430.9111111;169.55
peaton;28.0;76943.5333333;172.95
peaton;29.0;77032.5111111;173.15
peaton;30.0;77610.8666667;174.45
peaton;31.0;77766.5777778;174.8
peaton;32.0;78011.2666667;175.35
peaton;33.0;79968.7777778;179.75
peaton;34.0;80257.9555556;180.4
peaton;35.0;82593.6222222;185.65
ciclista;11.0;83572.3777778;187.85
peaton;36.0;84106.2444444;189.05
ciclista;12.0;84684.6;190.35
peaton;37.0;84684.6;190.35
peaton;38.0;86998.0222222;195.55
peaton;39.0;89133.4888889;200.35
peaton;40.0;89333.6888889;200.8
ciclista;13.0;93671.3555556;210.55
peaton;41.0;94672.3555556;212.8
ciclista;14.0;96429.6666667;216.75
peaton;42.0;98565.1333333;221.55
peaton;43.0;102213.222222;229.75
peaton;44.0;105727.844444;237.65
ciclista;15.0;106684.355556;239.8
peaton;45.0;109420.422222;245.95
peaton;46.0;110043.266667;247.35
motociclista;1.0;110933.044444;249.35
peaton;47.0;113201.977778;254.45
peaton;48.0;114136.244444;256.55
peaton;49.0;115292.955556;259.15
peaton;50.0;118763.088889;266.95
peaton;51.0;118874.311111;267.2
ciclista;16.0;119541.644444;268.7
ciclista;17.0;119563.888889;268.75
peaton;52.0;119964.288889;269.65
