etiqueta;acumulado;frame;tiempo;
peaton;145.0;116560.888889;262.0
peaton;146.0;118429.422222;266.2
peaton;147.0;118451.666667;266.25
peaton;148.0;118874.311111;267.2
peaton;149.0;119052.266667;267.6
peaton;150.0;119296.955556;268.15
peaton;151.0;121521.4;273.15
peaton;152.0;122277.711111;274.85
peaton;153.0;122322.2;274.95
peaton;154.0;122433.422222;275.2
peaton;155.0;122767.088889;275.95
peaton;156.0;122856.066667;276.15
peaton;157.0;123323.2;277.2
peaton;158.0;123367.688889;277.3
peaton;159.0;124079.511111;278.9
peaton;160.0;124390.933333;279.6
peaton;161.0;125792.333333;282.75
peaton;162.0;127193.733333;285.9
peaton;163.0;127816.577778;287.3
peaton;164.0;129440.422222;290.95
peaton;165.0;130864.066667;294.15
peaton;166.0;131909.555556;296.5
peaton;167.0;133088.511111;299.15
peaton;168.0;133778.088889;300.7
peaton;169.0;134334.2;301.95
peaton;170.0;134645.622222;302.65
peaton;171.0;135135.0;303.75
ciclista;5.0;135869.066667;305.4
peaton;172.0;136291.711111;306.35
peaton;173.0;137225.977778;308.45
peaton;174.0;138115.755556;310.45
peaton;175.0;138404.933333;311.1
peaton;176.0;138427.177778;311.15
peaton;177.0;138538.4;311.4
peaton;178.0;138605.133333;311.55
peaton;179.0;139316.955556;313.15
peaton;180.0;139539.4;313.65
peaton;181.0;141096.511111;317.15
peaton;182.0;141118.755556;317.2
peaton;183.0;141786.088889;318.7
peaton;184.0;142542.4;320.4
peaton;185.0;143143.0;321.75
peaton;186.0;145011.533333;325.95
peaton;187.0;145589.888889;327.25
peaton;188.0;145945.8;328.05
peaton;189.0;146168.244444;328.55
peaton;190.0;146212.733333;328.65
peaton;191.0;148481.666667;333.75
peaton;192.0;148570.644444;333.95
peaton;193.0;148837.577778;334.55
peaton;194.0;149549.4;336.15
peaton;195.0;149638.377778;336.35
peaton;196.0;149682.866667;336.45
peaton;197.0;150973.044444;339.35
peaton;198.0;152952.8;343.8
peaton;199.0;153308.711111;344.6
ciclista;6.0;153909.311111;345.95
peaton;200.0;154309.711111;346.85
